time,gFx,gFy,gFz,TgF
22:11:02:725,0.0200,0.2081,1.1688,1.187
22:11:02:727,0.0280,0.2121,1.1288,1.149
22:11:02:728,0.0600,0.2201,1.1047,1.128
22:11:02:729,0.0640,0.2041,1.0767,1.098
22:11:02:730,0.0921,0.1881,1.0727,1.093
22:11:02:731,0.1041,0.1841,1.0727,1.093
22:11:02:732,0.1321,0.1801,1.0967,1.119
22:11:02:734,0.1321,0.1561,1.0967,1.116
22:11:02:735,0.0881,0.1361,1.0367,1.049
22:11:02:865,0.0600,0.1401,1.0367,1.048
22:11:02:867,0.0480,0.1361,1.0327,1.043
22:11:02:868,0.0400,0.1481,1.0087,1.020
22:11:02:869,0.0360,0.1761,0.9647,0.981
22:11:02:870,0.0360,0.1841,0.9687,0.987
22:11:02:871,0.0360,0.1961,1.0127,1.032
22:11:02:872,0.0320,0.2001,1.0647,1.084
22:11:02:874,0.0520,0.2161,1.1368,1.158
22:11:02:875,0.0881,0.2322,1.1088,1.136
22:11:02:876,0.0921,0.2482,1.0407,1.074
22:11:02:877,0.0961,0.2802,0.9767,1.021
22:11:02:878,0.1041,0.3082,0.9366,0.992
22:11:02:879,0.0961,0.2882,0.9486,0.996
22:11:02:881,0.0720,0.2842,1.0007,1.043
22:11:02:888,0.0440,0.2482,1.1007,1.129
22:11:02:898,0.0280,0.2282,1.1528,1.175
22:11:02:908,0.0240,0.2242,1.0967,1.120
22:11:02:918,0.0200,0.2322,1.0287,1.055
22:11:02:928,0.0040,0.2642,0.9927,1.027
22:11:02:938,0.0040,0.2722,1.0367,1.072
22:11:02:952,0.0400,0.2402,1.1047,1.131
22:11:02:961,0.0600,0.2201,1.0847,1.108
22:11:02:969,0.0841,0.2402,0.9887,1.021
22:11:02:978,0.1121,0.2762,0.9366,0.983
22:11:02:988,0.1001,0.2762,0.9246,0.970
22:11:02:998,0.1481,0.2442,0.9246,0.968
22:11:03:8,0.1561,0.1921,0.9366,0.969
22:11:03:18,0.1441,0.1761,0.9526,0.979
22:11:03:31,0.0961,0.1601,0.9126,0.932
22:11:03:42,0.0480,0.1521,0.9046,0.919
22:11:03:52,0.0040,0.1521,0.9206,0.933
22:11:03:62,-0.0480,0.1401,0.9486,0.960
22:11:03:72,-0.1041,0.1281,0.9927,1.006
22:11:03:82,-0.1241,0.1281,1.0487,1.064
22:11:03:104,-0.1281,0.1561,1.0687,1.088
22:11:03:108,-0.1281,0.1921,1.0847,1.109
22:11:03:109,-0.0961,0.2201,1.0687,1.095
22:11:03:120,-0.0761,0.2242,1.0687,1.095
22:11:03:130,-0.0520,0.2362,1.0767,1.104
22:11:03:140,-0.0280,0.2602,1.0527,1.085
22:11:03:150,0.0080,0.2642,1.0447,1.078
22:11:03:160,0.0160,0.2682,0.9967,1.032
22:11:03:171,0.0280,0.2522,0.9526,0.986
22:11:03:182,0.0160,0.2362,0.9326,0.962
22:11:03:193,-0.0240,0.2482,0.9166,0.950
22:11:03:202,-0.0360,0.1961,0.9206,0.942
22:11:03:211,-0.0761,0.1881,0.9647,0.986
22:11:03:220,-0.1041,0.1641,1.0647,1.082
22:11:03:232,-0.1081,0.1361,1.1488,1.162
22:11:03:240,-0.0720,0.1081,1.1208,1.128
22:11:03:251,-0.0360,0.1161,1.0367,1.044
22:11:03:263,-0.0200,0.1561,0.9486,0.962
22:11:03:271,-0.0240,0.1681,0.9286,0.944
22:11:03:281,-0.0280,0.1441,0.9607,0.972
22:11:03:292,-0.0360,0.1321,1.0727,1.081
22:11:03:301,-0.0200,0.1121,1.2048,1.210
22:11:03:312,-0.0080,0.1481,1.2488,1.258
22:11:03:322,0.0640,0.1681,1.1248,1.139
22:11:03:332,-0.0120,0.2081,1.0287,1.050
22:11:03:340,-0.0400,0.2402,1.0247,1.053
22:11:03:353,-0.0560,0.2362,1.0727,1.100
22:11:03:362,-0.0520,0.2242,1.1128,1.136
22:11:03:373,-0.0320,0.2161,1.0927,1.114
22:11:03:383,-0.0080,0.2442,1.0327,1.061
22:11:03:392,-0.0040,0.2882,0.9687,1.011
22:11:03:401,-0.0040,0.3042,0.9406,0.989
22:11:03:412,-0.0120,0.3002,0.9967,1.041
22:11:03:421,0.0040,0.2642,1.1288,1.159
22:11:03:433,0.0520,0.2602,1.2328,1.261
22:11:03:442,0.1201,0.2562,1.2649,1.296
22:11:03:452,0.1601,0.2802,1.1808,1.224
22:11:03:462,0.1841,0.2922,1.0727,1.127
22:11:03:472,0.1481,0.2802,0.9687,1.019
22:11:03:481,0.1561,0.2602,0.8966,0.947
22:11:03:492,0.1321,0.2041,0.8646,0.898
22:11:03:502,0.1201,0.1921,0.8566,0.886
22:11:03:512,0.0881,0.1841,0.8846,0.908
22:11:03:522,0.0400,0.1561,0.9767,0.990
22:11:03:532,-0.0200,0.1441,1.0487,1.059
22:11:03:541,-0.0360,0.1361,1.0887,1.098
22:11:03:552,-0.0360,0.1281,1.0447,1.053
22:11:03:561,-0.0240,0.1521,0.9526,0.965
22:11:03:572,0.0160,0.1961,0.8726,0.895
22:11:03:581,0.0480,0.2041,0.8766,0.901
22:11:03:592,0.0520,0.2282,0.9366,0.965
22:11:03:601,0.0801,0.2242,1.0607,1.087
22:11:03:614,0.1921,0.2282,1.0927,1.133
22:11:03:789,0.1521,0.2642,1.0647,1.108
22:11:03:790,0.1641,0.3002,0.9967,1.054
22:11:03:791,0.1481,0.3202,0.9847,1.046
22:11:03:792,0.1121,0.3282,0.9967,1.055
22:11:03:794,0.0961,0.2962,1.0207,1.067
22:11:03:795,0.1121,0.2842,1.0087,1.054
22:11:03:796,0.1201,0.3082,0.9967,1.050
22:11:03:797,0.1241,0.3242,0.9807,1.040
22:11:03:798,0.1041,0.2922,1.0647,1.109
22:11:03:800,0.1041,0.2842,1.1408,1.180
22:11:03:801,0.1321,0.2602,1.2609,1.294
22:11:03:802,0.1601,0.2562,1.3329,1.367
22:11:03:803,0.1641,0.1881,0.9607,0.993
22:11:03:943,0.1361,0.1681,1.0047,1.028
22:11:03:944,0.0961,0.1601,1.0327,1.049
22:11:03:945,0.0600,0.1641,1.0487,1.063
22:11:03:946,0.0400,0.1641,1.0207,1.035
22:11:03:947,0.0440,0.1641,0.9767,0.991
22:11:03:949,0.0881,0.1801,0.9126,0.934
22:11:03:950,0.1121,0.2041,0.8886,0.919
22:11:03:951,0.1481,0.2121,0.9046,0.941
22:11:03:952,0.1281,0.2161,0.9486,0.981
22:11:03:953,0.0921,0.2081,1.0327,1.057
22:11:03:954,0.0961,0.2041,1.0567,1.081
22:11:03:955,0.0600,0.2402,1.0007,1.031
22:11:03:957,0.0160,0.2922,0.9006,0.947
22:11:03:958,0.0280,0.2722,0.9166,0.957
22:11:03:968,0.0040,0.2842,0.9887,1.029
22:11:03:983,0.0240,0.3082,1.0847,1.128
22:11:03:993,0.0560,0.2962,1.1648,1.203
22:11:03:999,0.0801,0.2962,1.1888,1.228
22:11:04:8,0.0921,0.3042,1.1408,1.184
22:11:04:19,0.1161,0.2962,1.0887,1.134
22:11:04:28,0.1281,0.3042,1.0407,1.092
22:11:04:38,0.1401,0.3002,1.0687,1.119
22:11:04:48,0.1801,0.2602,1.0967,1.141
22:11:04:61,0.1681,0.2362,1.0767,1.115
22:11:04:72,0.1561,0.2161,0.9967,1.032
22:11:04:81,0.1241,0.2322,0.9086,0.946
22:11:04:92,0.0841,0.2161,0.8686,0.899
22:11:04:103,0.0040,0.1761,0.8606,0.878
22:11:06:883,0.0761,0.1481,0.8766,0.892
22:11:11:243,0.1161,0.1361,1.1768,1.190
22:11:11:245,0.0761,0.1801,1.3649,1.379
22:11:11:258,0.0720,0.2282,1.3409,1.362
22:11:11:263,0.1081,0.2602,1.1688,1.202
22:11:11:344,0.1121,0.2962,1.1248,1.168
22:11:11:346,0.0961,0.3002,1.1448,1.187
22:11:11:347,0.1281,0.2842,1.0887,1.132
22:11:11:348,0.1561,0.2522,0.9166,0.963
22:11:11:349,0.2081,0.2522,0.7685,0.835
22:11:11:351,0.1921,0.2442,0.7765,0.836
22:11:11:352,0.1441,0.2242,0.8606,0.901
22:11:11:353,0.0560,0.2242,0.9647,0.992
22:11:11:354,-0.0040,0.1961,1.0647,1.083
22:11:11:356,-0.0560,0.1641,1.1328,1.146
22:11:11:368,-0.0640,0.1241,1.1768,1.185
22:11:11:377,-0.0520,0.1761,1.1648,1.179
22:11:11:540,-0.0160,0.1881,1.0287,1.046
22:11:11:543,0.0040,0.1801,0.9286,0.946
22:11:11:545,0.0600,0.1721,0.8005,0.821
22:11:11:546,0.0801,0.1801,0.7685,0.793
22:11:11:550,0.1001,0.1641,0.7765,0.800
22:11:11:551,0.0841,0.1321,0.8646,0.879
22:11:11:554,0.0160,0.1321,1.0287,1.037
22:11:11:556,-0.0520,0.1361,1.2448,1.253
22:11:11:558,-0.1481,0.1881,1.3409,1.362
22:11:11:559,-0.1041,0.2081,1.2328,1.255
22:11:11:561,-0.0480,0.2482,1.1088,1.137
22:11:11:562,0.0000,0.2602,1.0127,1.046
22:11:11:564,0.0560,0.2161,0.9566,0.982
22:11:11:568,0.0400,0.2081,1.0407,1.062
22:11:11:569,0.0000,0.1921,1.1047,1.121
22:11:11:589,0.0000,0.1841,1.1648,1.179
22:11:11:591,0.0280,0.1601,1.2008,1.212
22:11:11:606,0.0640,0.1681,1.2128,1.226
22:11:11:609,0.0761,0.1801,1.2569,1.272
22:11:11:620,0.0720,0.1801,1.2368,1.252
22:11:11:636,0.0680,0.1561,1.1568,1.169
22:11:11:638,0.0961,0.1561,1.0367,1.053
22:11:11:647,0.1201,0.1761,0.9366,0.961
22:11:11:656,0.0921,0.2001,0.9406,0.966
22:11:11:666,0.0240,0.2161,1.0247,1.048
22:11:11:676,-0.0120,0.1961,1.1688,1.185
22:11:11:689,-0.0320,0.1681,1.2208,1.233
22:11:11:696,-0.0040,0.1801,1.1248,1.139
22:11:11:706,0.0440,0.2001,1.0447,1.065
22:11:11:716,0.0720,0.2242,0.9206,0.950
22:11:11:762,0.0801,0.2081,0.8966,0.924
22:11:11:765,0.0961,0.1841,0.8446,0.870
22:11:11:767,0.1081,0.1401,0.8366,0.855
22:11:11:769,0.1121,0.1481,0.8686,0.888
22:11:11:770,0.0961,0.1521,0.9286,0.946
22:11:11:780,0.0480,0.1681,1.0087,1.024
22:11:11:786,0.0320,0.1521,1.0287,1.040
22:11:11:798,0.0520,0.1601,0.9486,0.963
22:11:11:856,0.0560,0.1641,0.9526,0.968
22:11:11:858,0.0320,0.1921,1.0287,1.047
22:11:11:859,0.0240,0.1921,1.0967,1.114
22:11:11:860,0.0520,0.1761,1.0407,1.057
22:11:12:8,0.1041,0.1961,0.9126,0.939
22:11:12:9,0.1001,0.2402,0.9086,0.945
22:11:12:10,0.1001,0.2602,0.9847,1.023
22:11:12:11,0.0680,0.2482,1.0527,1.084
22:11:12:13,0.0680,0.2081,1.0887,1.111
22:11:12:14,0.1001,0.2001,1.0647,1.088
22:11:12:15,0.1121,0.2242,1.0407,1.070
22:11:12:16,0.1001,0.2522,1.0487,1.083
22:11:12:17,0.0921,0.2201,0.9727,1.002
22:11:12:18,0.0921,0.2001,0.9166,0.943
22:11:12:20,0.0961,0.2041,0.9086,0.936
22:11:12:21,0.0720,0.1961,0.9647,0.987
22:11:12:22,0.1281,0.2282,1.0127,1.046
22:11:12:194,0.1321,0.2362,1.0087,1.044
22:11:12:195,0.1361,0.2242,1.0407,1.073
22:11:12:196,0.1001,0.2201,1.0927,1.119
22:11:12:197,0.0520,0.2081,1.1808,1.200
22:11:12:198,0.0120,0.2081,1.2208,1.239
22:11:12:199,0.0080,0.2041,1.1288,1.147
22:11:12:200,0.0080,0.2041,1.0447,1.064
22:11:12:202,0.0040,0.1961,1.0487,1.067
22:11:12:203,-0.0160,0.1921,1.1608,1.177
22:11:12:204,-0.0560,0.1681,1.2849,1.297
22:11:12:205,-0.0360,0.1401,1.1648,1.174
22:11:12:206,0.0120,0.1681,0.9887,1.003
22:11:12:207,0.0720,0.1281,0.8886,0.901
22:11:12:208,0.0400,0.1641,0.8846,0.901
22:11:12:218,0.0040,0.1401,0.9647,0.975
22:11:12:226,-0.0400,0.1241,1.0087,1.017
22:11:12:236,-0.0520,0.1281,0.9647,0.975
22:11:12:246,-0.0240,0.1441,0.8526,0.865
22:11:12:288,-0.0200,0.1521,0.8406,0.854
22:11:12:289,-0.0400,0.1521,0.8606,0.875
22:11:12:290,-0.0761,0.1481,0.9486,0.963
22:11:12:291,-0.0961,0.1321,0.9887,1.002
22:11:12:299,-0.0841,0.1401,1.0207,1.034
22:11:12:306,-0.0560,0.1681,1.0207,1.036
22:11:12:354,-0.0160,0.1881,1.0327,1.050
22:11:12:356,-0.0080,0.1881,1.0167,1.034
22:11:12:357,0.0160,0.2081,1.0047,1.026
22:11:12:358,0.0320,0.1921,1.0167,1.035
22:11:12:360,0.0520,0.1961,1.1047,1.123
22:11:12:369,0.0320,0.1961,1.1488,1.166
22:11:12:376,0.0320,0.1881,1.1968,1.212
22:11:12:386,0.0480,0.1961,1.0927,1.111
22:11:12:396,0.0761,0.2081,0.9807,1.005
22:11:12:406,0.0801,0.2121,0.9486,0.975
22:11:12:457,0.0841,0.2041,1.0247,1.048
22:11:12:458,0.0680,0.1961,1.1208,1.140
22:11:12:460,0.0761,0.1641,1.1808,1.195
22:11:12:461,0.1241,0.1641,1.0847,1.104
22:11:12:462,0.1521,0.1801,1.0047,1.032
22:11:12:470,0.1761,0.1881,0.9566,0.991
22:11:12:476,0.1681,0.1761,0.9887,1.018
22:11:12:486,0.1521,0.1441,1.0767,1.097
22:11:12:496,0.1241,0.1281,1.0927,1.107
22:11:12:506,0.1321,0.1281,0.9566,0.974
22:11:12:549,0.1321,0.1881,0.7885,0.821
22:11:12:550,0.1321,0.2362,0.7165,0.766
22:11:12:552,0.0881,0.2161,0.7565,0.792
22:11:12:553,0.0480,0.1841,0.8446,0.866
22:11:12:561,0.0280,0.1521,0.8686,0.882
22:11:12:567,0.0280,0.1521,0.8526,0.866
22:11:12:576,0.0520,0.1761,0.8246,0.845
22:11:12:586,0.0360,0.1921,0.8446,0.867
22:11:12:596,0.0240,0.1921,0.9206,0.941
22:11:12:606,-0.0120,0.1881,1.1448,1.160
22:11:12:617,0.0080,0.1641,1.2729,1.283
22:11:12:626,0.0761,0.2442,1.2528,1.279
22:11:12:711,0.1201,0.2482,1.0447,1.080
22:11:12:713,0.1521,0.2402,0.9166,0.960
22:11:12:715,0.1681,0.3242,0.9286,0.998
22:11:12:716,0.1641,0.3763,0.9687,1.052
22:11:12:717,0.1601,0.3242,0.9887,1.053
22:11:12:718,0.1721,0.2962,1.0007,1.058
22:11:12:720,0.1881,0.2882,1.0807,1.134
22:11:12:721,0.1601,0.3002,1.1248,1.175
22:11:12:722,0.1441,0.2842,1.1648,1.208
22:11:12:735,0.1401,0.2201,1.1728,1.201
22:11:12:736,0.1641,0.2282,1.1568,1.190
22:11:12:746,0.2001,0.2161,1.1208,1.159
22:11:12:789,0.2322,0.2001,1.0247,1.070
22:11:12:791,0.2402,0.1681,1.0087,1.050
22:11:12:792,0.2201,0.1401,1.0367,1.069
22:11:12:793,0.1881,0.1281,1.0687,1.093
22:11:12:797,0.1201,0.1161,1.1208,1.133
22:11:12:806,0.0720,0.1081,1.1568,1.164
22:11:12:817,0.0480,0.1001,1.1288,1.134
22:11:12:826,0.0560,0.1081,1.0207,1.028
22:11:12:864,0.0320,0.1321,0.9807,0.990
22:11:12:866,0.0240,0.1401,1.0367,1.046
22:11:12:867,0.0120,0.1441,1.1328,1.142
22:11:12:868,0.0080,0.1281,1.1768,1.184
22:11:12:876,0.0000,0.1321,1.1328,1.140
22:11:12:886,0.0320,0.1521,0.9847,0.997
22:11:12:896,0.0440,0.1961,0.8606,0.884
22:11:12:906,0.0720,0.1961,0.8486,0.874
22:11:12:916,0.0720,0.2121,0.9727,0.998
22:11:12:926,0.0640,0.1921,1.1168,1.135
22:11:12:966,0.0520,0.1961,1.2368,1.253
22:11:13:89,0.0640,0.2041,1.2088,1.228
22:11:13:90,0.0680,0.2081,1.0407,1.063
22:11:13:91,0.0961,0.2442,0.8926,0.930
22:11:13:92,0.0921,0.2642,0.8566,0.901
22:11:13:94,0.1201,0.2522,0.8606,0.905
22:11:13:95,0.1201,0.2242,0.9366,0.971
22:11:13:96,0.0841,0.1921,1.0087,1.030
22:11:13:97,0.0440,0.1881,1.0287,1.047
22:11:13:98,0.0120,0.1961,0.9887,1.008
22:11:13:100,0.0120,0.1921,0.8566,0.878
22:11:13:101,0.0040,0.1881,0.7885,0.811
22:11:13:102,-0.0080,0.1761,0.8326,0.851
22:11:13:103,-0.0520,0.1321,1.3369,1.344
22:11:13:282,0.0040,0.1481,1.2208,1.230
22:11:13:283,0.0280,0.1921,1.1368,1.153
22:11:13:285,0.0400,0.2121,1.0687,1.090
22:11:13:286,0.0801,0.2001,1.0207,1.043
22:11:13:287,0.1161,0.2081,0.9727,1.001
22:11:13:288,0.1281,0.2001,0.9767,1.005
22:11:13:289,0.1001,0.1801,1.0247,1.045
22:11:13:290,0.0280,0.1721,1.1408,1.154
22:11:13:292,-0.0560,0.1761,1.2809,1.294
22:11:13:293,-0.1041,0.1841,1.3569,1.373
22:11:13:294,-0.0720,0.1801,1.2649,1.280
22:11:13:295,-0.0360,0.1921,1.1128,1.130
22:11:13:297,-0.0841,0.1801,0.9046,0.926
22:11:13:298,-0.1641,0.1521,1.0287,1.053
22:11:13:308,-0.2322,0.1121,1.1688,1.197
22:11:13:318,-0.2362,0.1121,1.1648,1.194
22:11:13:326,-0.2282,0.1281,1.1328,1.163
22:11:13:371,-0.2242,0.1481,1.1728,1.203
22:11:13:373,-0.2242,0.1881,1.2889,1.322
22:11:13:374,-0.2161,0.1841,1.3489,1.378
22:11:13:375,-0.1721,0.1801,1.2569,1.281
22:11:13:376,-0.1281,0.1721,1.0887,1.110
22:11:13:417,-0.0801,0.1801,0.9446,0.965
22:11:13:419,-0.0200,0.2001,0.9126,0.935
22:11:13:420,-0.0240,0.1921,0.9647,0.984
22:11:13:421,-0.0841,0.1361,1.1328,1.144
22:11:13:426,-0.1161,0.1041,1.2689,1.278
22:11:13:436,-0.1161,0.0881,1.3689,1.377
22:11:13:478,-0.0801,0.1041,1.3449,1.351
22:11:13:480,-0.0640,0.1041,1.1648,1.171
22:11:13:481,-0.0480,0.0720,0.9486,0.953
22:11:13:483,-0.0160,0.0881,0.8126,0.817
22:11:13:490,0.0080,0.1001,0.7205,0.727
22:11:13:496,0.0120,0.0841,0.6484,0.654
22:11:13:506,0.0000,0.0520,0.6645,0.666
22:11:13:516,-0.0560,0.0360,0.7645,0.767
22:11:13:529,-0.1401,0.0080,0.9647,0.975
22:11:13:536,-0.2081,-0.0080,1.2048,1.223
22:11:13:576,-0.2442,-0.0120,1.3329,1.355
22:11:13:578,-0.2161,-0.0040,1.1808,1.200
22:11:13:579,-0.1961,0.0080,0.9446,0.965
22:11:13:581,-0.2522,0.0921,0.8526,0.894
22:11:13:588,-0.3002,0.1241,0.8726,0.931
22:11:13:596,-0.3402,0.1241,0.9727,1.038
22:11:13:606,-0.3002,0.0761,1.0247,1.070
22:11:13:616,-0.2282,0.0480,1.0047,1.031
22:11:13:628,-0.1761,0.0761,0.9807,0.999
22:11:13:636,-0.1841,0.1201,0.9286,0.954
22:11:13:646,-0.2442,0.1401,0.9847,1.024
22:11:13:656,-0.3122,0.1401,1.0487,1.103
22:11:13:725,-0.3803,0.1441,1.1568,1.226
22:11:13:738,-0.4043,0.1161,1.2088,1.280
22:11:13:740,-0.3402,0.1001,1.1688,1.221
22:11:13:742,-0.3002,0.1081,1.0407,1.089
22:11:13:743,-0.2482,0.1041,0.8566,0.898
22:11:13:744,-0.1921,0.1401,0.7565,0.793
22:11:13:745,-0.1841,0.1841,0.7485,0.793
22:11:13:747,-0.1921,0.1241,0.8366,0.867
22:11:13:748,-0.1521,0.0680,1.0207,1.034
22:11:13:761,-0.1321,0.0360,1.1968,1.205
22:11:13:768,-0.1321,0.0240,1.2328,1.240
22:11:13:819,-0.1481,0.0200,1.1928,1.202
22:11:13:821,-0.1721,0.0120,1.0887,1.102
22:11:13:822,-0.2081,0.0200,1.0207,1.042
22:11:13:824,-0.2001,0.0280,1.0167,1.037
22:11:13:826,-0.1841,0.0200,1.1047,1.120
22:11:13:827,-0.1441,0.0240,1.2008,1.210
22:11:13:838,-0.1281,0.0160,1.2168,1.224
22:11:13:880,-0.1241,0.0080,1.1328,1.140
22:11:13:882,-0.1481,0.0160,0.9967,1.008
22:11:13:883,-0.1401,0.0680,0.9526,0.965
22:11:13:884,-0.1521,0.0520,0.9967,1.010
22:11:13:891,-0.1521,0.0480,1.0727,1.085
22:11:13:896,-0.1201,0.0440,1.1688,1.176
22:11:13:905,-0.0560,0.0640,1.1568,1.160
22:11:13:916,-0.0600,0.0961,1.0727,1.079
22:11:13:932,-0.0720,0.1041,0.9526,0.961
22:11:13:939,-0.0480,0.1041,0.8166,0.825
22:11:13:952,-0.0200,0.1121,0.7205,0.729
22:11:13:959,-0.0080,0.1201,0.6524,0.663
22:11:13:999,-0.0200,0.0881,0.6444,0.651
22:11:14:1,-0.0280,0.0680,0.7285,0.732
22:11:14:3,-0.0921,0.0560,1.0847,1.090
22:11:14:4,-0.1121,0.0160,1.5370,1.541
22:11:14:8,-0.0881,0.0200,1.7852,1.787
22:11:14:20,-0.0160,0.0440,1.4930,1.494
22:11:14:26,-0.0600,0.0400,1.0607,1.063
22:11:14:165,-0.1241,0.0360,0.7525,0.764
22:11:14:167,-0.0841,0.1521,0.5684,0.594
22:11:14:169,0.0160,0.1881,0.4803,0.516
22:11:14:170,0.0640,0.1361,0.4443,0.469
22:11:14:172,0.0600,0.0560,0.5484,0.554
22:11:14:174,0.0080,0.0400,0.8446,0.846
22:11:14:176,-0.0560,0.0080,1.2328,1.234
22:11:14:177,-0.1321,-0.0320,1.4290,1.435
22:11:14:179,-0.2081,0.0000,1.5691,1.583
22:11:14:181,-0.3002,0.0761,1.5130,1.544
22:11:14:186,-0.3602,0.0600,1.1848,1.240
22:11:14:187,-0.3362,0.1001,0.9526,1.015
22:11:14:189,-0.1241,0.2442,0.8686,0.911
22:11:14:190,-0.0320,0.2602,0.9366,0.973
22:11:14:191,0.0120,0.1761,1.1128,1.127
22:11:14:496,0.0120,0.0881,1.3369,1.340
22:11:14:497,-0.0280,0.0680,1.5090,1.511
22:11:14:498,-0.1441,0.0961,1.4970,1.507
22:11:14:500,-0.2562,0.1241,1.3569,1.386
22:11:14:501,-0.2842,0.1441,1.2168,1.258
22:11:14:502,-0.2482,0.1521,1.1528,1.189
22:11:14:503,-0.1721,0.1281,1.0407,1.063
22:11:14:505,-0.0961,0.0961,1.0007,1.010
22:11:14:506,-0.0720,0.0801,0.9927,0.998
22:11:14:507,-0.1241,0.0320,1.0767,1.084
22:11:14:508,-0.1881,-0.0280,1.2448,1.259
22:11:14:509,-0.2282,-0.0801,1.3169,1.339
22:11:14:511,-0.2041,0.0560,0.8005,0.828
22:11:14:512,-0.1921,0.0280,0.8126,0.835
22:11:14:518,-0.1561,0.0040,0.8846,0.898
22:11:14:526,-0.1961,-0.0080,0.9687,0.988
22:11:14:536,-0.2201,-0.0160,1.0767,1.099
22:11:14:581,-0.1921,-0.0120,1.0447,1.062
22:11:14:583,-0.2121,-0.0080,1.0247,1.046
22:11:14:584,-0.2362,0.0000,1.0287,1.055
22:11:14:586,-0.2402,-0.0040,1.1128,1.138
22:11:14:587,-0.2201,-0.0040,1.1808,1.201
22:11:14:599,-0.1761,0.0120,1.2048,1.218
22:11:14:614,-0.1721,0.0360,1.1088,1.123
22:11:14:618,-0.1801,0.0680,1.0087,1.027
22:11:14:666,-0.2081,0.0961,1.0847,1.109
22:11:14:668,-0.2442,0.1241,1.1528,1.185
22:11:14:669,-0.2522,0.1201,1.2408,1.272
22:11:14:670,-0.2242,0.0841,1.1968,1.221
22:11:14:672,-0.1961,0.0881,1.0927,1.114
22:11:14:681,-0.1921,0.1361,1.0167,1.044
22:11:14:687,-0.1801,0.1761,1.0007,1.032
22:11:14:696,-0.1841,0.1561,1.0367,1.064
22:11:14:707,-0.1681,0.1121,1.0367,1.056
22:11:14:716,-0.1441,0.0921,1.0087,1.023
22:11:14:775,-0.1441,0.0801,0.9687,0.983
22:11:14:777,-0.1161,0.0720,0.9246,0.935
22:11:14:778,-0.1361,0.0600,0.9526,0.964
22:11:14:780,-0.1601,0.0320,1.0487,1.061
22:11:14:781,-0.1641,-0.0040,1.1088,1.121
22:11:14:782,-0.1361,-0.0280,1.0967,1.106
22:11:14:792,-0.1241,-0.0280,1.0447,1.052
22:11:14:799,-0.1241,0.0040,0.9647,0.973
22:11:14:808,-0.1321,0.0200,0.8926,0.903
22:11:14:816,-0.1321,0.0240,0.8286,0.839
22:11:14:864,-0.1321,0.0240,0.8726,0.883
22:11:14:866,-0.1601,0.0440,0.9727,0.987
22:11:14:868,-0.1881,0.0120,1.1688,1.184
22:11:14:869,-0.1801,0.0160,1.3249,1.337
22:11:14:871,-0.1841,0.0160,1.2528,1.266
22:11:14:880,-0.1881,0.0520,1.1047,1.122
22:11:14:887,-0.2201,0.0881,0.9807,1.009
22:11:14:896,-0.2121,0.1481,0.9326,0.968
22:11:14:907,-0.1761,0.1721,0.9767,1.007
22:11:14:916,-0.1361,0.1241,1.0327,1.049
22:11:14:926,-0.1001,0.0881,1.0407,1.049
22:11:14:936,-0.0761,0.1001,1.0047,1.013
22:11:14:989,-0.0640,0.1161,1.0207,1.029
22:11:14:991,-0.0841,0.1001,1.0887,1.097
22:11:14:992,-0.0961,0.0640,1.1568,1.163
22:11:14:993,-0.0921,0.0440,1.2008,1.205
22:11:14:994,-0.0600,0.0480,1.1648,1.167
22:11:14:996,-0.0360,0.0280,1.0687,1.070
22:11:15:6,-0.0360,0.0200,0.9887,0.990
22:11:15:16,-0.0280,0.0240,0.8806,0.881
22:11:15:65,-0.0440,0.0080,0.8726,0.874
22:11:15:67,-0.0680,-0.0040,0.9847,0.987
22:11:15:68,-0.1121,-0.0040,1.1528,1.158
22:11:15:69,-0.0961,-0.0240,1.2729,1.277
22:11:15:71,-0.0680,-0.0040,1.3009,1.303
22:11:15:88,-0.0480,0.0400,1.2649,1.266
22:11:15:89,-0.0240,0.0921,1.1928,1.197
22:11:15:97,0.0040,0.1281,1.1328,1.140
22:11:15:106,0.0000,0.1401,1.0927,1.102
22:11:15:117,0.0480,0.1321,1.0087,1.018
22:11:15:164,0.0881,0.1401,1.0287,1.042
22:11:15:165,0.1001,0.1561,1.1808,1.195
22:11:15:167,0.0921,0.1161,1.3169,1.325
22:11:15:168,0.0640,0.0720,1.3089,1.312
22:11:15:169,0.0480,0.0801,1.1848,1.188
22:11:15:176,0.0200,0.1401,0.9847,0.995
22:11:15:188,0.0120,0.2121,0.8566,0.883
22:11:15:196,0.0040,0.1801,0.8406,0.860
22:11:15:206,0.0080,0.1281,0.8366,0.846
22:11:15:216,0.0120,0.0761,0.9486,0.952
22:11:15:364,0.0040,0.0240,1.1568,1.157
22:11:15:366,0.0080,0.0080,1.3249,1.325
22:11:15:367,0.0440,0.0280,1.3169,1.318
22:11:15:369,0.0400,0.0680,1.1088,1.112
22:11:15:370,0.0160,0.1481,0.9086,0.921
22:11:15:371,-0.0200,0.2041,0.8446,0.869
22:11:15:372,0.0240,0.2161,0.9767,1.001
22:11:15:373,0.0640,0.1081,0.9927,1.001
22:11:15:374,0.0480,0.0881,0.9406,0.946
22:11:15:376,0.0720,0.1201,0.9206,0.931
22:11:15:377,0.0360,0.1761,0.9366,0.954
22:11:15:378,-0.0440,0.1641,0.9767,0.991
